year,month,rainfall,Flood
1961,Apr,2.453,0
1961,May,37.305,0
1961,Jun,75.738,0
1961,Jul,168.125,0
1961,Aug,241.576,0
1961,Sep,196.308,0
1961,Oct,178.16,0
1961,Nov,136.937,0
1961,Dec,11.896,0
1962,Jan,2.398,0
1962,Feb,9.706,0
1962,Mar,1.547,0
1962,Apr,29.188,0
1962,May,124.912,0
1962,Jun,85.487,0
1962,Jul,92.287,0
1962,Aug,243.571,0
1962,Sep,137.995,0
1962,Oct,366.844,0
1962,Nov,75.248,0
1962,Dec,87.298,0
1963,Jan,54.709,0
1963,Feb,0,0
1963,Mar,28.862,0
1963,Apr,76.624,0
1963,May,12.457,0
1963,Jun,47.374,0
1963,Jul,63.193,0
1963,Aug,145.136,0
1963,Sep,132.104,0
1963,Oct,170.328,0
1963,Nov,313.587,0
1963,Dec,155.32,0
1964,Jan,0.023,0
1964,Feb,0,0
1964,Mar,0,0
1964,Apr,0,0
1964,May,2.629,0
1964,Jun,14.437,0
1964,Jul,157.677,0
1964,Aug,163.522,0
1964,Sep,122.683,0
1964,Oct,166.866,0
1964,Nov,517.216,0
1964,Dec,17.005,0
1965,Jan,6.454,0
1965,Feb,34.219,0
1965,Mar,0,0
1965,Apr,35.049,0
1965,May,3.923,0
1965,Jun,33.031,0
1965,Jul,109.953,0
1965,Aug,228.591,0
1965,Sep,104.59,0
1965,Oct,86.259,0
1965,Nov,235.656,0
1965,Dec,294.415,0
1966,Jan,33.574,0
1966,Feb,0,0
1966,Mar,0,0
1966,Apr,1.859,0
1966,May,100.639,0
1966,Jun,67.227,0
1966,Jul,104.763,0
1966,Aug,203.662,0
1966,Sep,232.469,0
1966,Oct,216.702,0
1966,Nov,505.566,0
1966,Dec,109.856,0
1967,Jan,20.552,0
1967,Feb,0,0
1967,Mar,16.227,0
1967,Apr,5.541,0
1967,May,102.109,0
1967,Jun,45.415,0
1967,Jul,105.22,0
1967,Aug,292.125,0
1967,Sep,61.305,0
1967,Oct,126.228,0
1967,Nov,112.586,0
1967,Dec,359.024,0
1968,Jan,0.2,0
1968,Feb,14.242,0
1968,Mar,0.312,0
1968,Apr,50.005,0
1968,May,33.04,0
1968,Jun,46.698,0
1968,Jul,39.919,0
1968,Aug,39.534,0
1968,Sep,98.738,0
1968,Oct,127.655,0
1968,Nov,128.432,0
1968,Dec,154.468,0
1969,Jan,0.476,0
1969,Feb,0,0
1969,Mar,0,0
1969,Apr,0,0
1969,May,85.435,0
1969,Jun,41.116,0
1969,Jul,110.022,0
1969,Aug,138.097,0
1969,Sep,33.856,0
1969,Oct,503.865,0
1969,Nov,343.876,0
1969,Dec,115.77,0
1970,Jan,0.464,0
1970,Feb,17.626,0
1970,Mar,1.583,0
1970,Apr,5.012,0
1970,May,14.958,0
1970,Jun,47.696,0
1970,Jul,178.397,0
1970,Aug,198.788,0
1970,Sep,114.306,0
1970,Oct,121.814,0
1970,Nov,429.602,0
1970,Dec,10.719,0
1971,Jan,13.259,0
1971,Feb,16.281,0
1971,Mar,11.854,0
1971,Apr,23.052,0
1971,May,61.807,0
1971,Jun,39.156,0
1971,Jul,112.673,0
1971,Aug,87.774,0
1971,Sep,132.99,0
1971,Oct,351.022,0
1971,Nov,64.463,0
1971,Dec,154.592,0
1972,Jan,8.681,0
1972,Feb,0,0
1972,Mar,0,0
1972,Apr,2.506,0
1972,May,79.675,0
1972,Jun,73.289,0
1972,Jul,63.551,0
1972,Aug,113.066,0
1972,Sep,78.672,0
1972,Oct,384.08,0
1972,Nov,167.323,0
1972,Dec,402.333,0
1973,Jan,0.2,0
1973,Feb,0,0
1973,Mar,0,0
1973,Apr,0,0
1973,May,11.723,0
1973,Jun,15.09,0
1973,Jul,79.668,0
1973,Aug,249.647,0
1973,Sep,174.177,0
1973,Oct,214.488,0
1973,Nov,55.864,0
1973,Dec,159.475,0
1974,Jan,8.775,0
1974,Feb,0,0
1974,Mar,1.642,0
1974,Apr,0.776,0
1974,May,40.19,0
1974,Jun,87.738,0
1974,Jul,128.226,0
1974,Aug,96.977,0
1974,Sep,190.502,0
1974,Oct,186.708,0
1974,Nov,117.63,0
1974,Dec,6.289,0
1975,Jan,8.198,0
1975,Feb,0,0
1975,Mar,0.212,0
1975,Apr,0,0
1975,May,5.435,0
1975,Jun,49.109,0
1975,Jul,176.877,0
1975,Aug,182.396,0
1975,Sep,193.346,0
1975,Oct,322.447,0
1975,Nov,341.414,0
1975,Dec,26.578,0
1976,Jan,6.035,0
1976,Feb,0,0
1976,Mar,2.112,0
1976,Apr,0,0
1976,May,6.312,0
1976,Jun,68.642,0
1976,Jul,188.72,0
1976,Aug,364.627,0
1976,Sep,56.695,0
1976,Oct,361.909,0
1976,Nov,560.269,0
1976,Dec,13.541,0
1977,Jan,0.376,0
1977,Feb,11.245,0
1977,Mar,0,0
1977,Apr,10.135,0
1977,May,40.348,0
1977,Jun,79.901,0
1977,Jul,74.599,0
1977,Aug,186.657,0
1977,Sep,114.933,0
1977,Oct,460.266,0
1977,Nov,460.281,0
1977,Dec,15.373,0
1978,Jan,9.125,0
1978,Feb,24.769,0
1978,Mar,0,0
1978,Apr,39.058,0
1978,May,14.536,0
1978,Jun,42.384,0
1978,Jul,94.506,0
1978,Aug,135.347,0
1978,Sep,288.843,0
1978,Oct,130.42,0
1978,Nov,168.817,0
1978,Dec,426.257,0
1979,Jan,0.994,0
1979,Feb,24.293,0
1979,Mar,1.141,0
1979,Apr,5.588,0
1979,May,124.69,0
1979,Jun,28.212,0
1979,Jul,99.295,0
1979,Aug,82.494,0
1979,Sep,164.229,0
1979,Oct,126.685,0
1979,Nov,510.07,0
1979,Dec,67.218,0
1980,Jan,0.547,0
1980,Feb,0,0
1980,Mar,0.759,0
1980,Apr,0.928,0
1980,May,25.92,0
1980,Jun,38.634,0
1980,Jul,74.78,0
1980,Aug,148.362,0
1980,Sep,60.747,0
1980,Oct,114.687,0
1980,Nov,397.684,0
1980,Dec,111.204,0
1981,Jan,35.416,0
1981,Feb,2.075,0
1981,Mar,6.534,0
1981,Apr,6.147,0
1981,May,73.02,0
1981,Jun,56.557,0
1981,Jul,185.113,0
1981,Aug,185.366,0
1981,Sep,196.568,0
1981,Oct,346.524,0
1981,Nov,66.243,0
1981,Dec,105.8,0
1982,Jan,0.565,0
1982,Feb,0,0
1982,Mar,2.511,0
1982,Apr,10.3,0
1982,May,11.654,0
1982,Jun,74.448,0
1982,Jul,123.28,0
1982,Aug,107.61,0
1982,Sep,97.39,0
1982,Oct,129.294,0
1982,Nov,262.047,0
1982,Dec,62.011,0
